FantraxName,FantraxTeam,FantraxPosition,FantraxPlayerId,FangraphsName,FangraphsTeam,FangraphsPosition,FangraphsPlayerId
Ronald Acuna Jr.,ATL,OF,*03wha*,Ronald Acuna Jr.,ATL,OF/DH,18401
Freddie Freeman,LAD,1B,*01cgo*,Freddie Freeman,LAD,1B,5361
Marcus Semien,TEX,2B,*02bu9*,Marcus Semien,TEX,2B,12533
Mookie Betts,LAD,"2B,OF",*02btf*,Mookie Betts,LAD,2B/OF,13611
Corbin Carroll,ARI,OF,*04y4e*,Corbin Carroll,ARI,OF,25878
Shohei Ohtani,LAA,"UT,P",*02yc4*,Shohei Ohtani,LAA,P/DH,19755
Wander Franco,TB,SS,*04csx*,Wander Franco,TBR,SS,23667
Kevin Gausman,TOR,SP,*02hi7*,Kevin Gausman,TOR,SP,14107
Shane McClanahan,TB,SP,*04mlt*,Shane McClanahan,TBR,SP,21483
Pete Alonso,NYM,1B,*041pz*,Pete Alonso,NYM,1B/DH,19251
Gerrit Cole,NYY,SP,*01spo*,Gerrit Cole,NYY,SP,13125
Yordan Alvarez,HOU,OF,*04355*,Yordan Alvarez,HOU,OF/DH,19556
Randy Arozarena,TB,OF,*040b5*,Randy Arozarena,TBR,OF/DH,19290
Spencer Strider,ATL,SP,*05mre*,Spencer Strider,ATL,SP,27498
Adolis Garcia,TEX,OF,*04aq4*,Adolis Garcia,TEX,OF/DH,19287
Bo Bichette,TOR,SS,*041qb*,Bo Bichette,TOR,SS,19612
Jose Ramirez,CLE,3B,*01ub6*,Jose Ramirez,CLE,3B/DH,13510
Matt Olson,ATL,1B,*02mwm*,Matt Olson,ATL,1B,14344
Marcus Stroman,CHC,SP,*02hg4*,Marcus Stroman,CHC,SP,13431
Aaron Judge,NYY,OF,*02z0s*,Aaron Judge,NYY,OF/DH,15640
Jonathan India,CIN,2B,*04nx3*,Jonathan India,CIN,2B/DH,21523
Juan Soto,SD,OF,*03ynj*,Juan Soto,SDP,OF,20123
Felix Bautista,BAL,RP,*05t64*,Felix Bautista,BAL,RP,20666
Zac Gallen,ARI,SP,*041qo*,Zac Gallen,ARI,SP,19291
